product_id,bidincrement,bidfee
10011954,12,60
10014472,12,60
10012358,12,60
10012043,2,60
10015338,12,60
10015005,12,60
10013863,12,60
10014004,12,60
10014005,12,60
10013836,12,60
10013989,12,60
10014768,12,60
10012045,12,60
10014092,12,60
10013719,12,60
10013660,12,60
10014783,12,60
10013937,12,60
10014471,12,60
10013988,12,60
10011273,12,60
10013837,12,60
10013524,12,60
10014470,12,60
10014713,12,60
10014002,12,60
10013993,12,60
10014001,12,60
10013996,12,60
10012208,12,60
10014014,12,60
10013998,12,60
10009914,12,60
10014017,12,60
10014478,12,60
10013661,12,60
10011624,12,60
10014000,12,60
10013994,12,60
10012339,12,60
10013839,12,60
10013725,12,60
10012640,6,60
10013984,12,60
10012363,12,60
10014712,12,60
10014003,12,60
10014550,12,60
10014547,12,60
10015156,12,60
10013570,12,60
10013858,12,60
10012491,12,60
10013983,12,60
10012364,12,60
10011266,12,60
10014479,12,60
10013718,12,60
10011081,12,60
10013987,12,60
10014477,12,60
10014552,12,60
10013986,12,60
10012076,12,60
10014093,12,60
10012362,12,60
10013658,12,60
10014546,12,60
10013662,12,60
10011512,12,60
10013995,12,60
10013657,12,60
10013838,12,60
10012876,6,60
10013982,12,60
10014549,12,60
10011808,12,60
10012170,12,60
10013732,12,60
10013985,12,60
10013999,12,60
10013991,12,60
10012160,12,60
10005487,12,60
10011707,1,60
10013467,12,60
10013659,12,60
10015271,12,60
10012354,12,60
10012361,12,60
10012356,12,60
10014091,12,60
10011917,12,60
10010893,2,60
10012417,12,60
10011847,12,60
10011848,12,60
10012469,12,60
10014094,12,60
10006485,12,60
10013474,12,60
10011707,6,60
10011706,6,60
